Tissue,Sample,Gene_A,Gene_B
BLCA,TCGA-BL-A0C8-01A,SPAG9,PCMT1
BLCA,TCGA-BL-A0C8-01A,TJP2,FXN
BLCA,TCGA-BL-A0C8-01A,TWF2,FSTL4
BLCA,TCGA-BL-A0C8-01A,VGLL4,LIMD1
BLCA,TCGA-BL-A13I-01B-04R-A277-07,C10orf68,CCDC7
BLCA,TCGA-BL-A13J-01A,B3GALTL,C13orf26
BLCA,TCGA-BL-A13J-01B,C10orf68,CCDC7
BLCA,TCGA-BL-A13J-01A,FAM102B,SLC25A24
BLCA,TCGA-BL-A13J-01A,HDAC4,SATB2
BLCA,TCGA-BL-A13J-01A,KRBOX1,C3orf39
BLCA,TCGA-BL-A13J-01A-11R-A277-07,PSPC1,MPHOSPH8
BLCA,TCGA-BL-A13J-01A,USP34,FAM161A
BLCA,TCGA-BL-A3JM-01A-12R-A21D-07,SMARCC1,DOCK3
BLCA,TCGA-BL-A3JM-01A-12R-A21D-07,UBL3,CKAP2
BLCA,TCGA-BL-A3JM-01A-12R-A21D-07,ZCCHC8,RSRC2
BLCA,TCGA-BT-A0S7-01A-11R-A10U-07,AMOTL1,SLCO2B1
BLCA,TCGA-BT-A0S7-01A-11R-A10U-07,EP300,MCHR1
BLCA,TCGA-BT-A0S7-01A-11R-A10U-07,RAB3IP,NUP107
BLCA,TCGA-BT-A0S7-01A-11R-A10U-07,YEATS4,LYZ
BLCA,TCGA-BT-A0YX-01A-11R-A10U-07,CTC-203F4.1,JUP
BLCA,TCGA-BT-A20J-01A-11R-A14Y-07,PHTF2,BET1
BLCA,TCGA-BT-A20J-01A-11R-A14Y-07,TBC1D4,TTC15
BLCA,TCGA-BT-A20J-01A-11R-A14Y-07,ZNF335,ZSWIM3
BLCA,TCGA-BT-A20N-01A-11R-A14Y-07,PPP6R3,YAP1
BLCA,TCGA-BT-A20O-01A-21R-A14Y-07,FN1,ZNFX1
BLCA,TCGA-BT-A20Q-01A-11R-A14Y-07,EPN2,KCNJ12
BLCA,TCGA-BT-A20Q-01A-11R-A14Y-07,KDM6A,KAL1
BLCA,TCGA-BT-A20R-01A-12R-A16R-07,NEDD4L,HYI
BLCA,TCGA-BT-A20T-01A-11R-A14Y-07,GATAD2B,ERI3
BLCA,TCGA-BT-A20T-01A-11R-A14Y-07,NSD1,FAT2
BLCA,TCGA-BT-A20T-01A-11R-A14Y-07,PLBD1,CREBL2
BLCA,TCGA-BT-A20U-01A-11R-A14Y-07,ATP6V0A1,STAT5A
BLCA,TCGA-BT-A20V-01A-11R-A14Y-07,ITCH,AHCY
BLCA,TCGA-BT-A20V-01A-11R-A14Y-07,SLC25A17,RBFOX2
BLCA,TCGA-BT-A20V-01A-11R-A14Y-07,VAC14,WWOX
BLCA,TCGA-BT-A20W-01A-21R-A14Y-07,ADIPOR2,DCP1B
BLCA,TCGA-BT-A20W-01A-21R-A14Y-07,ANKRD46,ODF1
BLCA,TCGA-BT-A20W-01A-21R-A14Y-07,FAM169A,ANKRD31
BLCA,TCGA-BT-A20W-01A-21R-A14Y-07,ITGB6,RBMS1
BLCA,TCGA-BT-A20W-01A-21R-A14Y-07,MACROD1,NRXN2
